"","X.1","X","list_ID","common_name","scientific_name","date","time","count","duration","location","latitude","longitude","count_tot","month","year"
"1",2,2,"S33616660","Snow Goose","Anser caerulescens","2017-01-12","07:00 AM",1,90,"US-MO",38.6389068,-90.2853806,272,1,2017
"2",3,3,"S33809874","Snow Goose","Anser caerulescens","2017-01-20","04:26 PM",1,59,"US-MO",38.6389068,-90.2853806,188,1,2017
"3",4,4,"S35533959","Snow Goose","Anser caerulescens","2017-03-30","07:05 AM",1,100,"US-MO",38.6389068,-90.2853806,283,3,2017
"4",5,5,"S35698031","Snow Goose","Anser caerulescens","2017-04-04","07:00 AM",1,127,"US-MO",38.6389068,-90.2853806,369,4,2017
"5",6,6,"S35861224","Snow Goose","Anser caerulescens","2017-04-10","06:06 PM",1,68,"US-MO",38.6389068,-90.2853806,28,4,2017
"6",7,7,"S35918417","Snow Goose","Anser caerulescens","2017-04-13","06:59 AM",1,109,"US-MO",38.6389068,-90.2853806,247,4,2017
"7",8,8,"S36118134","Snow Goose","Anser caerulescens","2017-04-20","07:00 AM",1,98,"US-MO",38.6389068,-90.2853806,237,4,2017
"8",9,9,"S36198905","Snow Goose","Anser caerulescens","2017-04-23","08:13 AM",1,173,"US-MO",38.6389068,-90.2853806,137,4,2017
"9",10,10,"S36840525","Snow Goose","Anser caerulescens","2017-05-13","06:00 PM",1,45,"US-MO",38.6389068,-90.2853806,114,5,2017
"10",11,11,"S37374545","Snow Goose","Anser caerulescens","2017-06-04","07:53 AM",1,118,"US-MO",38.6389068,-90.2853806,108,6,2017
"11",12,12,"S38541052","Snow Goose","Anser caerulescens","2017-08-08","07:05 AM",1,85,"US-MO",38.6389068,-90.2853806,281,8,2017
"12",13,13,"S42135357","Snow Goose","Anser caerulescens","2018-01-21","01:37 PM",1,127,"US-MO",38.6389068,-90.2853806,275,1,2018
"13",14,14,"S82037948","Snow Goose","Anser caerulescens","2021-02-20","05:15 PM",26,4,"US-OK",35.9664503,-95.4937384,696,2,2021
"14",1,872,"S1665531","Chuck-will's-widow","Antrostomus carolinensis","2004-04-22",NA,1,0,"US-FL",27.1818195,-81.358746,15,4,2004
"15",1,5979,"S67802026","Northern Parula","Setophaga americana","2020-04-25","11:48 AM",1,140,"US-OK",36.783717,-98.18573,64,4,2020
"16",2,5980,"S36840514","Northern Parula","Setophaga americana","2017-05-13","10:40 AM",1,275,"US-MO",38.8636,-92.4504,515,5,2017
"17",3,5981,"S36840501","Northern Parula","Setophaga americana","2017-05-13","10:20 AM",1,20,"US-MO",38.8992369,-92.4644539,22,5,2017
"18",4,5982,"S1666285","Northern Parula","Setophaga americana","2004-04-23","01:30 PM",1,210,"US-FL",26.375442,-81.6040206,37,4,2004
"19",5,5983,"S85318603","Northern Parula","Setophaga americana","2021-04-11","09:50 AM",1,74,"US-OK",35.9559819,-96.3171265,42,4,2021
"20",7,5985,"S44577908","Northern Parula","Setophaga americana","2018-04-14","03:50 PM",1,208,"US-MO",38.482151,-90.8242569,222,4,2018
"21",8,5986,"S19828501","Northern Parula","Setophaga americana","2014-09-13","04:00 PM",1,90,"US-OH",39.1177418,-84.6995258,37,9,2014
"22",9,5987,"S1665531","Northern Parula","Setophaga americana","2004-04-22","",1,0,"US-FL",27.1818195,-81.358746,15,4,2004
"23",10,5988,"S1735451","Northern Parula","Setophaga americana","2004-09-15","05:15 PM",1,60,"US-FL",27.4455426,-81.2784342,12,9,2004
"24",11,5989,"S107972603","Northern Parula","Setophaga americana","2017-07-04","12:35 PM",1,97,"US-MO",38.4228376,-90.6987113,25,7,2017
"25",12,5990,"S89739368","Northern Parula","Setophaga americana","2021-06-06","11:44 AM",1,166,"US-IL",38.7746894,-89.694683,30,6,2021
"26",15,5993,"S85336951","Northern Parula","Setophaga americana","2021-04-11","12:28 PM",1,100,"US-OK",35.9549428,-96.7256498,69,4,2021
"27",16,5994,"S1663299","Northern Parula","Setophaga americana","2004-04-10","07:30 AM",1,270,"US-FL",27.6327266,-82.718157,14,4,2004
"28",17,5995,"S18948766","Northern Parula","Setophaga americana","2014-06-29","11:00 AM",6,360,"US-MO",37.7291811,-92.3933029,101,6,2014
"29",18,5996,"S89601041","Northern Parula","Setophaga americana","2021-06-04","10:56 AM",1,121,"US-IN",39.7967658,-86.7772937,41,6,2021
"30",19,5997,"S55479893","Northern Parula","Setophaga americana","2019-04-27","12:53 PM",1,78,"US-OK",36.2179826,-95.7992634,35,4,2019
"31",20,5998,"S36840471","Northern Parula","Setophaga americana","2017-05-13","07:00 AM",1,60,"US-MO",38.6360813,-90.7679701,79,5,2017
"32",22,6000,"S37773842","Northern Parula","Setophaga americana","2017-06-24","11:52 AM",1,79,"US-MO",38.5474,-90.4319,28,6,2017
"33",23,6001,"S45094421","Northern Parula","Setophaga americana","2018-04-29","09:15 AM",1,136,"US-MO",38.5094049,-90.588381,34,4,2018
"34",24,6002,"S17855769","Northern Parula","Setophaga americana","2014-04-12","08:45 AM",1,120,"US-MO",38.690995,-90.2349186,200,4,2014
"35",25,6003,"S17931688","Northern Parula","Setophaga americana","2014-04-17","08:00 AM",1,120,"US-MO",38.6389068,-90.2853806,307,4,2014
"36",26,6004,"S18164541","Northern Parula","Setophaga americana","2014-05-01","08:30 AM",1,60,"US-MO",38.6389068,-90.2853806,91,5,2014
"37",28,6006,"S29265867","Northern Parula","Setophaga americana","2016-04-27","08:00 AM",1,45,"US-MO",38.6389068,-90.2853806,87,4,2016
"38",29,6007,"S35811314","Northern Parula","Setophaga americana","2017-04-09","07:47 AM",1,74,"US-MO",38.6389068,-90.2853806,51,4,2017
"39",30,6008,"S36118134","Northern Parula","Setophaga americana","2017-04-20","07:00 AM",1,98,"US-MO",38.6389068,-90.2853806,237,4,2017
"40",31,6009,"S36636292","Northern Parula","Setophaga americana","2017-05-07","07:34 AM",1,79,"US-MO",38.6389068,-90.2853806,54,5,2017
"41",32,6010,"S36956314","Northern Parula","Setophaga americana","2017-05-18","07:04 AM",1,126,"US-MO",38.6389068,-90.2853806,140,5,2017
"42",33,6011,"S17750325","Northern Parula","Setophaga americana","2014-04-05","07:45 AM",1,120,"US-MO",38.636316,-90.296545,126,4,2014
"43",35,6013,"S23073614","Northern Parula","Setophaga americana","2015-04-26","01:30 PM",1,90,"US-MO",38.6129807,-90.2593803,15,4,2015
"44",37,6015,"S88192658","Northern Parula","Setophaga americana","2021-05-15","12:31 PM",1,46,"US-OK",36.2222811,-95.9239566,37,5,2021
"45",38,6016,"S66369682","Northern Parula","Setophaga americana","2020-03-29","09:31 AM",1,189,"US-OK",36.1497985,-96.2401081,219,3,2020
"46",39,6017,"S106694384","Northern Parula","Setophaga americana","2022-04-10","09:00 AM",1,44,"US-OK",36.1499519,-96.2529969,79,4,2022
"47",40,6018,"S68330982","Northern Parula","Setophaga americana","2020-05-03","10:37 AM",1,154,"US-OK",36.2213571,-95.9341192,140,5,2020
"48",41,6019,"S54964350","Northern Parula","Setophaga americana","2019-04-14","05:06 PM",1,99,"US-OK",36.2235555,-95.9005058,62,4,2019
